status,image_file,current_alt,new_alt,page,edit_at,loading
described,src/assets/images/pages/tax/Contractor-Taxes.webp,Accountant walking a contractor through his tax numbers,,/construction-tax-services/,src/pages/construction-tax-services.astro:129,lazy
described,src/assets/images/pages/tax/Contractor-Tax-Services.webp,Contractor in a hi-vis vest checking figures on a laptop on site,,/construction-tax-services/,src/pages/construction-tax-services.astro:152,lazy
described,src/assets/images/pages/getting-started/Accountant-for-Contractors.webp,Construction accountant smiling while on a call at her desk,,/getting-started/,src/pages/getting-started.astro:58,eager
described,src/assets/images/pages/hvac/HVAC-Accounting.webp,HVAC technician smiling as he connects a length of flexible ductwork,,/hvac-accounting/,src/pages/hvac-accounting.astro:85,eager
described,src/assets/images/home/Service-Titan.png,ServiceTitan,,/hvac-accounting/,,lazy
described,src/assets/images/home/Jobber.png,Jobber,,/hvac-accounting/,,lazy
described,src/assets/images/home/Accountants-for-Contractors-and-Trades.webp,Tradesperson in work coveralls leaning on a tool bench in her shop,,/,src/pages/index.astro:167,lazy
described,src/assets/images/home/Terra-Tech-Testimonial-1024x965.webp,Terratech Solutions crew in front of their concrete stabilization trailer,,/,src/pages/index.astro:205,lazy
described,src/assets/images/pages/labor-calc/Bookkeeping-for-electricians.png,Technician working on an orange fibre-optic patch rack,,/labor-calculator/,src/pages/labor-calculator.astro:91,eager
described,src/assets/images/pages/why-different/Chris-Lewis-CPA-SEO.jpg,Chris Lewis CPA headshot,,/meet-the-team/,,eager
described,src/assets/images/pages/why-different/Jenny-Page.jpg,Jenny Page headshot,,/meet-the-team/,,lazy
described,src/assets/images/pages/why-different/Construction-Accountant_Nicole.png,Nicole Orlando headshot,,/meet-the-team/,,lazy
described,src/assets/images/pages/why-different/Liz_Construction-Accountant.png,Liz Collazo headshot,,/meet-the-team/,,lazy
described,src/assets/images/pages/why-different/Zach-German_Onboarding-Specialist.jpg,Zach German headshot,,/meet-the-team/,,lazy
described,src/assets/images/pages/why-different/Madison_Construction-Accountant.webp,Madison Maxwell headshot,,/meet-the-team/,,lazy
described,src/assets/images/pages/hvac/Accounting-Team-for-Specialty-Trades.webp,Two colleagues reviewing figures together on a desktop monitor,,/profit-margin-calculator/,src/pages/profit-margin-calculator.astro:82; src/pages/why-we-are-different.astro:194,eager
described,src/assets/images/pages/why-different/Accounting-Team-for-Construction.webp,Two people reviewing floor plans on a clipboard beside a hard hat and rolled blueprints,,/why-we-are-different/,src/pages/why-we-are-different.astro:199,lazy
empty,src/assets/images/blog/3-construction-company-kpis.png,,,/blog/3-construction-company-kpis/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/4-ways-construction-project-tracking.jpg,,,/blog/4-ways-construction-project-tracking/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/accounting-for-construction-projects.jpg,,,/blog/accounting-for-construction-projects/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/accounting-is-the-language-of-business.jpg,,,/blog/accounting-is-the-language-of-business/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/average-profit-margin-for-construction-companies.png,,,/blog/average-profit-margin-for-construction-companies/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/average-profit-margin-for-electrical-contractors.jpg,,,/blog/average-profit-margin-for-electrical-contractors/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/back-from-serviceworld-expo.png,,,/blog/back-from-serviceworld-expo/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/better-construction-bookkeeping.png,,,/blog/better-construction-bookkeeping/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/build-a-construction-budget.jpg,,,/blog/build-a-construction-budget/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/business-deductions-for-self-employed-owners.jpg,,,/blog/business-deductions-for-self-employed-owners/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/business-success-with-a-kpi-dashboard.png,,,/blog/business-success-with-a-kpi-dashboard/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,/wp-content/uploads/2025/06/67f3862b71279646737e5888_AD_4nXd8tx3wXZ0Qh77SCNeHoSgRWOoq2YJjiPyYRxHzfDJFbpj3AedW4txEvwUxBg_9wvycjR1ioc8PYYrKQRI66nAADs_2_vW6h7s9il2TSzNQ29jB3w_LOWEVHtbPKPUPnjJibfdzOA.png,,,/blog/business-success-with-a-kpi-dashboard/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,/wp-content/uploads/2025/06/67f3862b42f8a91f4f7557d3_AD_4nXeVAN0-emiwuiFQesYN7jWLE1t5VYf5lqMSTZHBvmOWKwJmSOyGzuzXZCE_svNiqlHdjx6-VWB7TNsA6A2BQ-syKDhTGTBKm7jBlJQdGp6j_67QuoOYP12noS6huO1wC3IN8TXZVQ-1024x745.png,,,/blog/business-success-with-a-kpi-dashboard/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,/wp-content/uploads/2025/06/67f3862b8a4a1158301d1b31_AD_4nXewJuyNXv9EtTipPbFi7nlMdpRmYT9VM0EOSFxiFWwjYEISYZgq0lhaWt5U5hTw5iqDhzf-jc7Po5F2qgx1GXtzY12lktFFul2a91sztAJocEhkKgoUFdsTzUEC4HQk9S-MUfVEA.png,,,/blog/business-success-with-a-kpi-dashboard/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,src/assets/images/blog/can-your-hvac-company-afford-to-hire.jpg,,,/blog/can-your-hvac-company-afford-to-hire/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/cash-flow-for-construction.jpg,,,/blog/cash-flow-for-construction/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/cash-flow-forecast-for-construction-business.jpg,,,/blog/cash-flow-forecast-for-construction-business/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/communication-in-home-service-business.jpg,,,/blog/communication-in-home-service-business/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-accountants-help.png,,,/blog/construction-accountants-help/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-business-break-even.jpg,,,/blog/construction-business-break-even/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-businesses-staffing.png,,,/blog/construction-businesses-staffing/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-chart-of-accounts-2025.jpg,,,/blog/construction-chart-of-accounts-2025/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,/wp-content/uploads/2025/06/66d1acf2b4161c9dce220922_6475a2fb8661e084c5175764_Construction20Chart20of20Accounts20Template-1024x576.png,,,/blog/construction-chart-of-accounts-2025/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,/wp-content/uploads/2025/06/66d1acf2b4161c9dce220925_6475a009ed4e2e778dd7aca6_Screenshot202023-05-3020at205.04.1720PM.png,,,/blog/construction-chart-of-accounts-2025/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,src/assets/images/blog/construction-company-r-d-tax-credit.jpeg,,,/blog/construction-company-r-d-tax-credit/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,/wp-content/uploads/2025/06/6475f8c44c2eb8f08210db2d_58e916d0-1024x640.png,,,/blog/construction-company-r-d-tax-credit/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,src/assets/images/blog/construction-equipment-depreciation-explained.png,,,/blog/construction-equipment-depreciation-explained/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-financing-guide.png,,,/blog/construction-financing-guide/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-industry-bookkeeping.png,,,/blog/construction-industry-bookkeeping/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-profit-and-loss-statement.png,,,/blog/construction-profit-and-loss-statement/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/construction-tax-credits-2023.jpg,,,/blog/construction-tax-credits-2023/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,/wp-content/uploads/2025/06/6462dceddcaed554ef4a9236_New-Construction-Tax-Credits-You-Havent-Heard-Of-Yet-2023-1024x768.jpg,,,/blog/construction-tax-credits-2023/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,/wp-content/uploads/2025/06/6463031d6afc95b84aaa97a8_New-Construction-Tax-Credits-You-Havent-Heard-Of-Yet-2023-1024x683.jpg,,,/blog/construction-tax-credits-2023/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,src/assets/images/blog/contractor-invoices-types-quickbooks-simplifies-the-process.png,,,/blog/contractor-invoices-types-quickbooks-simplifies-the-process/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/contractor-labor-cost-calculator.jpg,,,/blog/contractor-labor-cost-calculator/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/estimated-taxes-for-electricians-hvac-and-plumbers.jpg,,,/blog/estimated-taxes-for-electricians-hvac-and-plumbers/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/gusto-for-hvac-businesses.jpg,,,/blog/gusto-for-hvac-businesses/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/home-services-advisory-program.jpg,,,/blog/home-services-advisory-program/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/hvac-and-electrical-contractors-in-slow-season.jpg,,,/blog/hvac-and-electrical-contractors-in-slow-season/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/hvac-tax-deductions-2026.jpg,,,/blog/hvac-tax-deductions-2026/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/branding/Atlas-Accounting-light-logo.svg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/track-hvac-company-cash-flow.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/job-costing-mistakes-for-electricians.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/profitable-hvac-cash-flow.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/year-end-review.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/quickbooks-tips-for-contractors.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/year-end-accounting-checklist-for-electricians.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/year-end-accounting-checklist-for-plumbers.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/year-end-accounting-checklist-for-hvacs.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/inside-our-new-protect-your-profits-book.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/protect-from-business-fraud-2025.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/stop-inaccurate-hvac-job-costing.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/non-financial-hvac-kpis.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/target-hvac-business-profit-margin.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/integrate-software-with-quickbooks.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/servicetitan-and-quickbooks.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/tax-credits-for-construction.png,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/washington-cares-payroll-tax.png,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/quickbooks-servicetitan-integration.png,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/blog/your-guide-to-workers-compensation-in-washington-state-2023.jpg,,,/blog/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,/wp-content/uploads/2025/06/6747083ff641582987466b78_64dba7dc86380df2dd8fa8fa_Chart.png,,,/blog/washington-cares-payroll-tax/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,/wp-content/uploads/2025/06/67480c9496664fd41177bf70_6422f2f08753e62e6ccbdfb6_Your20Guide20to20Workers20Compensation20in20Washington20State-1024x768.jpeg,,,/blog/your-guide-to-workers-compensation-in-washington-state-2023/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,
empty,src/assets/images/pages/construction/ServiceTitan.png,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/construction/JobTread.png,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/home/Housecall-Pro.png,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/construction/QuickBooks.png,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/home/Gusto.png,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/home/Service-Titan.png,,,/hvac-accounting/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/home/Jobber.png,,,/hvac-accounting/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/home/Popup-Labor-Calculator.jpg,,,/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/tax/Contractor-Taxes.webp,,,/pricing/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/toolbox/KPI-Dash.png,,,/toolbox/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/toolbox/Prof-Alloc-Proj.png,,,/toolbox/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/toolbox/Cash-Flow-Forecast-Thumbnail.png,,,/toolbox/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/toolbox/Labor-Burden-Calculator-Thumbnail.png,,,/toolbox/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
empty,src/assets/images/pages/why-different/arrow-down-dash.svg,,,/why-we-are-different/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/hvac/360-financial-icon.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/hvac/File-Box.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/hvac/Invoice.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/hvac/Data.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/electrical/Accountants-for-Electricians.webp,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/shared/checkmark-accent.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/shared/cpu-icon.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/shared/financial-icon.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/shared/document-with-calculator.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/shared/tax-1.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/shared/workflow.svg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/home/Footer-CTA-card-background.jpg,,,/accountants-for-electricians/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/plumbing/Accounting-for-plumbers.webp,,,/accountants-for-plumbers/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/careers/aa-career-form-bg.jpg,,,/careers/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/construction/Systemize.jpg,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/construction/Opportunities.png,,,/construction-accountants/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/diy.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/thumbs-up.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/setting-1.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
decorative,src/assets/images/pages/payroll/benefit-1.svg,,,/construction-payroll/,src/components/LaborCalcPopup.astro:33; src/components/sections/CalendlyCta.astro:30; src/pages/accountants-for-electricians.astro:111,lazy
